VERSION: 0.791492

Text size: 4285
Letters: 
а -- 0.0588098,
б -- 0.0116686,
в -- 0.0403734,
г -- 0.0109685,
д -- 0.0207701,
е -- 0.0681447,
ж -- 0.0151692,
з -- 0.0147025,
и -- 0.0779463,
й -- 0.00910152,
к -- 0.0198366,
л -- 0.0242707,
м -- 0.0389732,
н -- 0.0679113,
о -- 0.0933489,
п -- 0.0214702,
р -- 0.0340723,
с -- 0.0466744,
т -- 0.0571762,
у -- 0.0210035,
ф -- 0.00163361,
х -- 0.00956826,
ц -- 0.00466744,
ч -- 0.011902,
ш -- 0.00466744,
щ -- 0.00186698,
ы -- 0.0179697,
ь -- 0.0268378,
э -- 0.00233372,
ю -- 0.00770128,
€ -- 0.0168028,
  -- 0.141657,

Total letter in text: 32
Entropy of symbols: 4.39775

Overlapping Bigrams: 
 а -- 0.00140056,
 б -- 0.00443511,
 в -- 0.0147059,
 г -- 0.00116713,
 д -- 0.0035014,
 е -- 0.000233427,
 ж -- 0.0035014,
 з -- 0.00326797,
 и -- 0.0182073,
 к -- 0.00793651,
 л -- 0.00256769,
 м -- 0.00560224,
 н -- 0.0107376,
 о -- 0.00840336,
 п -- 0.0147059,
 р -- 0.00676937,
 с -- 0.0163399,
 т -- 0.00420168,
 у -- 0.00653595,
 ф -- 0.000466853,
 х -- 0.000233427,
 ц -- 0.00116713,
 ч -- 0.00256769,
 ш -- 0.000233427,
 э -- 0.00210084,
 € -- 0.00070028,
а  -- 0.00466853,
аб -- 0.00116713,
ав -- 0.00210084,
аг -- 0.000933707,
ад -- 0.00116713,
ае -- 0.00233427,
аж -- 0.00653595,
аз -- 0.00256769,
аи -- 0.000466853,
ай -- 0.000233427,
ак -- 0.00256769,
ал -- 0.00443511,
ам -- 0.00396825,
ан -- 0.00606909,
ап -- 0.000466853,
ар -- 0.00140056,
ас -- 0.00373483,
ат -- 0.0070028,
ах -- 0.00116713,
ац -- 0.000933707,
ач -- 0.00070028,
аш -- 0.000933707,
аю -- 0.00233427,
а€ -- 0.000933707,
ба -- 0.00116713,
бб -- 0.000233427,
бе -- 0.000933707,
бж -- 0.000233427,
би -- 0.000466853,
бл -- 0.000933707,
бн -- 0.000466853,
бо -- 0.00233427,
бр -- 0.00070028,
бс -- 0.000233427,
бу -- 0.000933707,
бх -- 0.000466853,
бы -- 0.00163399,
б€ -- 0.000933707,
в  -- 0.00443511,
ва -- 0.00957049,
вд -- 0.000466853,
ве -- 0.00303455,
вз -- 0.000233427,
ви -- 0.00326797,
вк -- 0.000233427,
вл -- 0.00163399,
вн -- 0.00210084,
во -- 0.00793651,
вп -- 0.000233427,
вр -- 0.00070028,
вс -- 0.00116713,
вт -- 0.000233427,
ву -- 0.00070028,
вы -- 0.00326797,
вь -- 0.000933707,
в€ -- 0.000233427,
г  -- 0.00070028,
га -- 0.00326797,
гд -- 0.000466853,
ге -- 0.000233427,
ги -- 0.000466853,
гк -- 0.000233427,
гл -- 0.000233427,
гн -- 0.000233427,
го -- 0.00326797,
гр -- 0.00116713,
гу -- 0.00070028,
д  -- 0.00070028,
да -- 0.00210084,
дв -- 0.000233427,
дд -- 0.000933707,
де -- 0.00443511,
ди -- 0.00186741,
дл -- 0.000233427,
дн -- 0.00116713,
до -- 0.00396825,
др -- 0.00070028,
ду -- 0.000933707,
ды -- 0.00210084,
дь -- 0.00140056,
е  -- 0.0184407,
еа -- 0.000233427,
еб -- 0.00140056,
ев -- 0.00140056,
ег -- 0.000933707,
ед -- 0.00140056,
ее -- 0.00140056,
еж -- 0.000466853,
ез -- 0.000466853,
еи -- 0.000233427,
ей -- 0.00256769,
ек -- 0.000933707,
ел -- 0.00280112,
ем -- 0.00443511,
ен -- 0.0140056,
ео -- 0.000933707,
еп -- 0.00116713,
ер -- 0.00396825,
ес -- 0.00373483,
ет -- 0.00396825,
еу -- 0.000466853,
ех -- 0.00140056,
ец -- 0.000233427,
еч -- 0.000466853,
еш -- 0.000466853,
ещ -- 0.000233427,
жа -- 0.00070028,
жб -- 0.000233427,
жд -- 0.00233427,
же -- 0.00256769,
жи -- 0.0035014,
жк -- 0.00070028,
жн -- 0.00513539,
з  -- 0.000933707,
за -- 0.00186741,
зв -- 0.00186741,
зд -- 0.00140056,
зи -- 0.00116713,
зл -- 0.000466853,
зм -- 0.00116713,
зн -- 0.00466853,
зо -- 0.000933707,
зу -- 0.000233427,
и  -- 0.0249767,
иа -- 0.00070028,
ив -- 0.00303455,
иг -- 0.00140056,
ид -- 0.00070028,
ие -- 0.00630252,
иж -- 0.00070028,
из -- 0.00490196,
ии -- 0.000933707,
ий -- 0.000933707,
ик -- 0.000933707,
ил -- 0.00163399,
им -- 0.00653595,
ин -- 0.00140056,
ио -- 0.00140056,
ир -- 0.00186741,
ис -- 0.000933707,
ит -- 0.00723623,
их -- 0.00256769,
ич -- 0.00326797,
ию -- 0.00116713,
и€ -- 0.00443511,
й  -- 0.00770308,
йн -- 0.000233427,
йс -- 0.000466853,
йт -- 0.000233427,
йч -- 0.000466853,
к  -- 0.00303455,
ка -- 0.00326797,
ке -- 0.000233427,
кж -- 0.00070028,
ки -- 0.00210084,
кл -- 0.000933707,
ко -- 0.00373483,
кр -- 0.00420168,
кт -- 0.000933707,
ку -- 0.00070028,
л  -- 0.000233427,
ла -- 0.00326797,
ле -- 0.00280112,
ли -- 0.00490196,
лн -- 0.00140056,
ло -- 0.00070028,
лу -- 0.00186741,
ль -- 0.00513539,
лю -- 0.00140056,
л€ -- 0.00256769,
м  -- 0.0102708,
ма -- 0.0035014,
ме -- 0.00746965,
ми -- 0.00443511,
мл -- 0.000233427,
мн -- 0.00140056,
мо -- 0.00840336,
мп -- 0.000233427,
мс -- 0.000233427,
му -- 0.00140056,
мы -- 0.00140056,
н  -- 0.00070028,
на -- 0.0102708,
нд -- 0.000233427,
не -- 0.00443511,
ни -- 0.0163399,
нк -- 0.000466853,
нн -- 0.00443511,
но -- 0.017507,
нс -- 0.00163399,
нт -- 0.00140056,
ну -- 0.00116713,
нф -- 0.000466853,
нц -- 0.000233427,
ны -- 0.00560224,
нь -- 0.00233427,
н€ -- 0.00070028,
о  -- 0.0128385,
об -- 0.00326797,
ов -- 0.00980392,
ог -- 0.00560224,
од -- 0.00420168,
ое -- 0.00210084,
ож -- 0.00116713,
оз -- 0.00210084,
ои -- 0.00233427,
ой -- 0.00233427,
ок -- 0.00163399,
ол -- 0.00513539,
ом -- 0.00957049,
он -- 0.00420168,
оо -- 0.000466853,
оп -- 0.00116713,
ор -- 0.00303455,
ос -- 0.0107376,
от -- 0.00513539,
оф -- 0.00070028,
ох -- 0.00070028,
оц -- 0.00186741,
оч -- 0.000466853,
ош -- 0.00116713,
ощ -- 0.000233427,
оэ -- 0.000233427,
о€ -- 0.00116713,
пе -- 0.00280112,
пи -- 0.000233427,
пк -- 0.000466853,
по -- 0.0102708,
пр -- 0.00513539,
пс -- 0.000466853,
пт -- 0.000233427,
пу -- 0.000933707,
пы -- 0.00070028,
п€ -- 0.000233427,
р  -- 0.000466853,
ра -- 0.00746965,
ре -- 0.00770308,
рж -- 0.000933707,
ри -- 0.00280112,
рм -- 0.00116713,
рн -- 0.00070028,
ро -- 0.00723623,
рт -- 0.000233427,
ру -- 0.00256769,
рч -- 0.000233427,
рш -- 0.000466853,
ры -- 0.00186741,
р€ -- 0.000233427,
с  -- 0.00280112,
са -- 0.00186741,
св -- 0.00280112,
сд -- 0.000233427,
се -- 0.00280112,
си -- 0.00280112,
ск -- 0.00163399,
сл -- 0.000933707,
сн -- 0.00070028,
со -- 0.0035014,
сп -- 0.0035014,
ср -- 0.000466853,
сс -- 0.00116713,
ст -- 0.0147059,
су -- 0.00070028,
сц -- 0.000233427,
сч -- 0.00116713,
сы -- 0.000233427,
сь -- 0.000466853,
с€ -- 0.00396825,
т  -- 0.00770308,
та -- 0.00490196,
тб -- 0.000233427,
тв -- 0.00210084,
тд -- 0.000466853,
те -- 0.00233427,
ти -- 0.00583567,
тк -- 0.00070028,
тл -- 0.000933707,
тн -- 0.00140056,
то -- 0.00933707,
тр -- 0.00233427,
тс -- 0.00070028,
ту -- 0.000233427,
ты -- 0.00116713,
ть -- 0.0163399,
т€ -- 0.000466853,
у  -- 0.00326797,
уб -- 0.000233427,
ув -- 0.000933707,
уг -- 0.000933707,
уд -- 0.00280112,
уе -- 0.000233427,
уж -- 0.000933707,
уз -- 0.000233427,
ул -- 0.000933707,
ум -- 0.00210084,
ун -- 0.000466853,
ур -- 0.000466853,
ус -- 0.00163399,
ут -- 0.00140056,
ух -- 0.000466853,
уч -- 0.00186741,
уш -- 0.000466853,
ущ -- 0.000233427,
ую -- 0.00140056,
фе -- 0.00070028,
фи -- 0.000466853,
фо -- 0.000466853,
х  -- 0.00466853,
ха -- 0.000233427,
хи -- 0.00070028,
хн -- 0.00070028,
хо -- 0.00256769,
хр -- 0.000233427,
ху -- 0.000466853,
ц  -- 0.000233427,
це -- 0.00233427,
ци -- 0.00210084,
ча -- 0.00186741,
че -- 0.0035014,
чи -- 0.00140056,
чн -- 0.00233427,
чт -- 0.00163399,
чу -- 0.000466853,
чш -- 0.000466853,
чь -- 0.000233427,
ша -- 0.00070028,
ше -- 0.00326797,
ши -- 0.000233427,
шл -- 0.000233427,
шн -- 0.000233427,
ща -- 0.000466853,
ще -- 0.00070028,
щи -- 0.00070028,
ы  -- 0.00280112,
ыв -- 0.00070028,
ые -- 0.00256769,
ыз -- 0.00070028,
ый -- 0.00303455,
ык -- 0.000466853,
ым -- 0.00256769,
ын -- 0.000233427,
ыт -- 0.00256769,
ых -- 0.00210084,
ыш -- 0.000233427,
ь  -- 0.0170401,
ьб -- 0.000233427,
ье -- 0.000233427,
ьк -- 0.000933707,
ьм -- 0.000466853,
ьн -- 0.00303455,
ьс -- 0.00326797,
ьт -- 0.000233427,
ьш -- 0.000233427,
ью -- 0.00070028,
ь€ -- 0.000233427,
эм -- 0.00070028,
эт -- 0.00163399,
ю  -- 0.00326797,
юб -- 0.000233427,
юд -- 0.000466853,
ют -- 0.00186741,
юч -- 0.00070028,
ющ -- 0.00116713,
€  -- 0.00980392,
€в -- 0.00070028,
€е -- 0.000466853,
€з -- 0.000233427,
€м -- 0.00070028,
€н -- 0.000466853,
€р -- 0.00070028,
€с -- 0.000233427,
€т -- 0.00233427,
€х -- 0.000466853,
€ю -- 0.00070028,
Total overlaping bigrams in text: 4284
Entropy of overlaping bigrams in text: 3.87056

Non overlapping Bigrams: 
 а -- 0.00140056,
 б -- 0.00420168,
 в -- 0.0163399,
 г -- 0.000933707,
 д -- 0.00326797,
 ж -- 0.00186741,
 з -- 0.00326797,
 и -- 0.0196078,
 к -- 0.00980392,
 л -- 0.00326797,
 м -- 0.00420168,
 н -- 0.00887021,
 о -- 0.00933707,
 п -- 0.0163399,
 р -- 0.00466853,
 с -- 0.015873,
 т -- 0.00326797,
 у -- 0.00933707,
 ф -- 0.000466853,
 ц -- 0.000466853,
 ч -- 0.00233427,
 ш -- 0.000466853,
 э -- 0.00186741,
а  -- 0.00420168,
аб -- 0.000466853,
ав -- 0.00186741,
аг -- 0.000933707,
ад -- 0.00233427,
ае -- 0.00233427,
аж -- 0.00793651,
аз -- 0.00140056,
аи -- 0.000933707,
ак -- 0.00420168,
ал -- 0.00326797,
ам -- 0.00326797,
ан -- 0.0070028,
ап -- 0.000933707,
ар -- 0.00233427,
ас -- 0.00326797,
ат -- 0.00606909,
ах -- 0.000933707,
ац -- 0.000466853,
аш -- 0.000466853,
аю -- 0.00280112,
а€ -- 0.000466853,
ба -- 0.00186741,
бб -- 0.000466853,
бе -- 0.000466853,
би -- 0.000466853,
бл -- 0.000933707,
бн -- 0.000933707,
бо -- 0.00326797,
бр -- 0.000466853,
бу -- 0.000466853,
бх -- 0.000933707,
бы -- 0.00186741,
б€ -- 0.000466853,
в  -- 0.00420168,
ва -- 0.00933707,
вд -- 0.000466853,
ве -- 0.00280112,
вз -- 0.000466853,
ви -- 0.00140056,
вл -- 0.000933707,
вн -- 0.00186741,
во -- 0.00840336,
вп -- 0.000466853,
вр -- 0.00140056,
вс -- 0.00140056,
ву -- 0.00140056,
вы -- 0.00280112,
вь -- 0.00140056,
г  -- 0.000466853,
га -- 0.00280112,
гд -- 0.000466853,
ге -- 0.000466853,
ги -- 0.000466853,
гк -- 0.000466853,
гл -- 0.000466853,
го -- 0.00420168,
гр -- 0.000933707,
гу -- 0.000466853,
д  -- 0.000466853,
да -- 0.00186741,
дв -- 0.000466853,
де -- 0.00466853,
ди -- 0.00233427,
дл -- 0.000466853,
дн -- 0.00140056,
до -- 0.00373483,
др -- 0.000933707,
ду -- 0.000933707,
ды -- 0.00326797,
дь -- 0.000933707,
е  -- 0.019141,
еб -- 0.00233427,
ев -- 0.000466853,
ег -- 0.000933707,
ед -- 0.00186741,
ее -- 0.00140056,
еж -- 0.000466853,
еи -- 0.000466853,
ей -- 0.00280112,
ек -- 0.000933707,
ел -- 0.00280112,
ем -- 0.00513539,
ен -- 0.0107376,
ео -- 0.00186741,
еп -- 0.000933707,
ер -- 0.00326797,
ес -- 0.00326797,
ет -- 0.00560224,
еу -- 0.000466853,
ех -- 0.00140056,
ец -- 0.000466853,
еч -- 0.000466853,
еш -- 0.000466853,
ещ -- 0.000466853,
жа -- 0.000466853,
жд -- 0.00140056,
же -- 0.00420168,
жи -- 0.00466853,
жн -- 0.00373483,
з  -- 0.00140056,
за -- 0.00186741,
зв -- 0.00280112,
зд -- 0.000933707,
зи -- 0.000933707,
зл -- 0.000466853,
зм -- 0.00233427,
зн -- 0.00560224,
зо -- 0.000466853,
зу -- 0.000466853,
и  -- 0.0266106,
иа -- 0.000466853,
ив -- 0.00233427,
иг -- 0.00186741,
ид -- 0.000933707,
ие -- 0.0070028,
из -- 0.00326797,
ии -- 0.000466853,
ий -- 0.000933707,
ик -- 0.000466853,
ил -- 0.000466853,
им -- 0.00793651,
ин -- 0.000466853,
ио -- 0.00186741,
ир -- 0.000466853,
ис -- 0.00140056,
ит -- 0.00513539,
их -- 0.00280112,
ич -- 0.00373483,
ию -- 0.000466853,
и€ -- 0.00420168,
й  -- 0.00840336,
йс -- 0.000933707,
йт -- 0.000466853,
йч -- 0.000466853,
к  -- 0.00186741,
ка -- 0.00280112,
кж -- 0.000466853,
ки -- 0.00233427,
кл -- 0.000933707,
ко -- 0.00373483,
кр -- 0.00420168,
кт -- 0.000466853,
ку -- 0.00140056,
л  -- 0.000466853,
ла -- 0.00326797,
ле -- 0.00373483,
ли -- 0.00513539,
лн -- 0.00280112,
ло -- 0.000466853,
лу -- 0.00233427,
ль -- 0.0070028,
лю -- 0.00140056,
л€ -- 0.00280112,
м  -- 0.012605,
ма -- 0.00373483,
ме -- 0.00653595,
ми -- 0.00373483,
мн -- 0.000466853,
мо -- 0.00793651,
му -- 0.00140056,
мы -- 0.00186741,
н  -- 0.000466853,
на -- 0.0107376,
нд -- 0.000466853,
не -- 0.00560224,
ни -- 0.0182073,
нк -- 0.000466853,
нн -- 0.00420168,
но -- 0.0205415,
нс -- 0.00186741,
нт -- 0.00186741,
ну -- 0.00140056,
нф -- 0.000933707,
нц -- 0.000466853,
ны -- 0.00606909,
нь -- 0.00233427,
н€ -- 0.000933707,
о  -- 0.0107376,
об -- 0.00280112,
ов -- 0.00887021,
ог -- 0.00513539,
од -- 0.00420168,
ое -- 0.00186741,
ож -- 0.00186741,
оз -- 0.00140056,
ои -- 0.00233427,
ой -- 0.00186741,
ок -- 0.000933707,
ол -- 0.00233427,
ом -- 0.0107376,
он -- 0.00373483,
оо -- 0.000933707,
оп -- 0.000466853,
ор -- 0.00280112,
ос -- 0.00793651,
от -- 0.00466853,
ох -- 0.000933707,
оц -- 0.00233427,
ош -- 0.000933707,
ощ -- 0.000466853,
о€ -- 0.00140056,
пе -- 0.00140056,
пк -- 0.000466853,
по -- 0.0102708,
пр -- 0.00513539,
пс -- 0.000466853,
пу -- 0.000933707,
пы -- 0.000933707,
п€ -- 0.000466853,
р  -- 0.000466853,
ра -- 0.00933707,
ре -- 0.00746965,
рж -- 0.00186741,
ри -- 0.00326797,
рм -- 0.000466853,
рн -- 0.000466853,
ро -- 0.00933707,
ру -- 0.00186741,
рш -- 0.000466853,
ры -- 0.00186741,
с  -- 0.00280112,
са -- 0.00233427,
св -- 0.00373483,
сд -- 0.000466853,
се -- 0.000933707,
си -- 0.00280112,
ск -- 0.00186741,
сл -- 0.000933707,
сн -- 0.000466853,
со -- 0.00420168,
сп -- 0.00373483,
ср -- 0.000933707,
сс -- 0.00140056,
ст -- 0.015873,
су -- 0.000466853,
сц -- 0.000466853,
сч -- 0.000933707,
сы -- 0.000466853,
сь -- 0.000466853,
с€ -- 0.00560224,
т  -- 0.00793651,
та -- 0.00373483,
тв -- 0.00233427,
те -- 0.00280112,
ти -- 0.00513539,
тк -- 0.000933707,
тл -- 0.000466853,
тн -- 0.000933707,
то -- 0.0112045,
тр -- 0.00280112,
тс -- 0.000466853,
ту -- 0.000466853,
ты -- 0.00186741,
ть -- 0.0200747,
т€ -- 0.000466853,
у  -- 0.00373483,
уб -- 0.000466853,
ув -- 0.000466853,
уг -- 0.000933707,
уд -- 0.00233427,
уж -- 0.00140056,
уз -- 0.000466853,
ул -- 0.000933707,
ум -- 0.000933707,
ус -- 0.00140056,
ут -- 0.000933707,
ух -- 0.000466853,
уч -- 0.00140056,
уш -- 0.000466853,
ущ -- 0.000466853,
ую -- 0.000933707,
фе -- 0.00140056,
фи -- 0.000466853,
х  -- 0.00420168,
ха -- 0.000466853,
хи -- 0.000933707,
хн -- 0.000933707,
хо -- 0.00326797,
це -- 0.00186741,
ци -- 0.00280112,
ча -- 0.00280112,
че -- 0.00420168,
чи -- 0.00233427,
чн -- 0.00233427,
чт -- 0.00140056,
чу -- 0.000466853,
чш -- 0.000466853,
ша -- 0.000466853,
ше -- 0.00420168,
ши -- 0.000466853,
шл -- 0.000466853,
ще -- 0.000933707,
щи -- 0.000933707,
ы  -- 0.00233427,
ыв -- 0.00140056,
ые -- 0.00186741,
ыз -- 0.00140056,
ый -- 0.00233427,
ык -- 0.000466853,
ым -- 0.00186741,
ыт -- 0.00140056,
ых -- 0.00186741,
ь  -- 0.0149393,
ьк -- 0.000466853,
ьм -- 0.000933707,
ьн -- 0.00186741,
ьс -- 0.00233427,
ью -- 0.000466853,
эм -- 0.000466853,
эт -- 0.00233427,
ю  -- 0.00466853,
юд -- 0.000933707,
ют -- 0.00186741,
юч -- 0.000466853,
ющ -- 0.000466853,
€  -- 0.00980392,
€в -- 0.000933707,
€з -- 0.000466853,
€м -- 0.00140056,
€н -- 0.000466853,
€р -- 0.000933707,
€с -- 0.000466853,
€т -- 0.00140056,
€ю -- 0.000933707,
Total non overlaping bigrams in text: 2142
Entropy of non overlaping bigrams in text: 3.81265
